1.txt math True impossible incorrect
10.txt math True 2|0|0|2|3|3|1|1 correct
100.txt math True 0|1|2|0|2|1|3|3 correct
101.txt math True 0|1|2|1|2|0|3|3 correct
102.txt math True 0|1|2|0|1|2|3|3 correct
103.txt math True 1|0|1|0|2|2|3|3 correct
104.txt math True 0|1|2|0|1|2|3|3 correct
105.txt math True 0|1|2|0|2|1|3|3 correct
106.txt math True 1|2|3|3|0|2|1|1 correct
107.txt math True 0|1|0|2|1|2|3|3 correct
108.txt math True 0|1|2|1|0|2|3|3 correct
109.txt math True 0|2|3|0|3|2|1|1 correct
11.txt math True 0|1|2|3|0|1|3|3 correct
110.txt math True 2|2|0|1|1|2|3|3 correct
111.txt math True 1|2|3|1|2|3|0|0 correct
112.txt math True 0|1|0|1|2|3|2|2 correct
113.txt math True 0|1|2|1|0|3|3|3 correct
114.txt math True 0|1|2|1|0|2|3|3 correct
115.txt math True 0|0|1|1|2|3|2|2 correct
116.txt math True 2|1|1|0|0|2|3|3 correct
117.txt math True 0|0|1|2|3|1|3|3 correct
118.txt math True 1|2|1|1|2|0|3|3 correct
119.txt math True 0|1|2|2|3|0|1|1 correct
12.txt math True impossible incorrect
120.txt math True 0|1|0|2|2|3|3|3 correct
121.txt math True 1|0|0|2|2|1|3|3 correct
122.txt math True impossible incorrect
123.txt math True 0|1|0|2|2|1|3|3 correct
124.txt math True 2|3|3|2|0|3|1|1 correct
125.txt math True 0|1|2|0|1|2|3|3 correct
126.txt math True 0|1|2|1|0|1|3|3 correct
127.txt math True 0|1|1|0|1|2|3|3 correct
128.txt math True 0|0|2|2|1|2|3|3 correct
129.txt math True 2|0|1|3|2|1|3|3 correct
13.txt math True 1|2|2|0|2|1|3|3 correct
130.txt math True 1|2|1|3|0|2|3|3 correct
131.txt math True 0|1|2|0|2|0|3|3 correct
132.txt math True 0|0|2|1|1|3|3|3 correct
133.txt math True impossible incorrect
134.txt math True 0|1|2|2|0|1|3|3 correct
135.txt math True 0|1|1|2|3|3|0|0 correct
136.txt math True 0|1|2|3|3|2|1|1 correct
137.txt math True 0|2|2|0|1|1|3|3 correct
138.txt math True impossible incorrect
139.txt math True 0|1|2|3|1|0|2|2 correct
14.txt math True 0|1|2|1|3|2|0|0 correct
140.txt math True 0|0|2|2|1|1|3|3 correct
141.txt math True impossible incorrect
142.txt math True 0|1|2|0|1|1|3|3 correct
143.txt math True 3|1|1|2|2|3|0|0 correct
144.txt math True 0|0|1|2|2|1|3|3 correct
145.txt math True 0|1|2|3|2|1|0|0 correct
146.txt math True 1|2|2|3|3|1|0|0 correct
147.txt math True 0|1|2|0|3|1|2|2 correct
148.txt math True 0|1|0|1|2|2|3|3 correct
149.txt math True 0|0|2|2|0|1|3|3 correct
15.txt math True 0|0|2|2|1|1|3|3 incorrect
150.txt math True impossible incorrect
151.txt math True 3|1|1|2|0|3|2|2 correct
152.txt math True 0|1|2|0|2|3|3|3 correct
153.txt math True 0|1|2|1|2|1|3|3 correct
154.txt math True 0|2|2|0|2|1|3|3 correct
155.txt math True 1|0|2|3|1|2|3|3 correct
156.txt math True 0|1|2|0|2|1|3|3 correct
157.txt math True 0|1|2|1|2|0|3|3 correct
158.txt math True 0|1|2|1|0|2|3|3 correct
159.txt math True 0|2|0|2|1|1|3|3 correct
16.txt math True 0|1|3|0|1|3|2|2 correct
160.txt math True 0|1|2|2|1|0|3|3 correct
161.txt math True 0|0|0|1|1|2|3|3 correct
162.txt math True 0|1|2|3|2|0|1|1 correct
163.txt math True 0|1|2|0|1|2|3|3 correct
164.txt math True 0|2|0|0|1|3|3|3 correct
165.txt math True 0|2|1|1|0|2|3|3 correct
166.txt math True 0|1|2|1|0|2|3|3 correct
167.txt math True 1|1|2|3|3|2|0|0 correct
168.txt math True 0|1|0|2|1|2|3|3 correct
169.txt math True 0|0|2|3|2|3|1|1 correct
17.txt math True 1|2|1|2|3|3|0|0 correct
170.txt math True 2|2|2|1|1|0|3|3 correct
171.txt math True 2|0|0|1|1|2|3|3 correct
172.txt math True 0|1|1|2|2|0|3|3 correct
173.txt math True 1|0|2|2|0|1|3|3 correct
174.txt math True 0|1|2|3|0|3|1|1 correct
175.txt math True 0|1|2|3|1|0|3|3 correct
176.txt math True 0|1|2|1|0|2|3|3 correct
177.txt math True 0|1|2|2|2|1|3|3 correct
178.txt math True 2|0|3|3|0|2|1|1 correct
179.txt math True 0|0|2|3|2|3|1|1 correct
18.txt math True 0|1|2|2|0|1|3|3 correct
180.txt math True 0|0|1|2|1|2|3|3 correct
181.txt math True 0|1|0|1|2|2|3|3 correct
182.txt math True 0|1|2|3|3|2|0|0 correct
183.txt math True 2|0|0|1|1|2|3|3 correct
184.txt math True 1|3|1|2|3|2|0|0 correct
185.txt math True 0|0|2|1|1|2|3|3 correct
186.txt math True 1|0|1|2|2|2|3|3 correct
187.txt math True 0|2|2|1|0|1|3|3 correct
188.txt math True 0|0|1|2|3|1|3|3 correct
189.txt math True 1|2|3|2|0|0|1|1 correct
19.txt math True 2|1|2|3|1|0|3|3 correct
190.txt math True 1|2|3|2|1|3|0|0 correct
191.txt math True 2|3|2|0|3|0|1|1 correct
192.txt math True 0|1|0|2|1|2|3|3 correct
193.txt math True 0|1|0|1|2|2|3|3 correct
194.txt math True 0|1|0|2|2|1|3|3 correct
195.txt math True 1|0|1|3|2|3|2|2 correct
196.txt math True 0|1|2|0|1|2|3|3 correct
197.txt math True impossible incorrect
198.txt math True 0|1|1|2|2|2|3|3 correct
199.txt math True impossible incorrect
2.txt math True 0|1|1|2|0|2|3|3 correct
20.txt math True 0|2|3|1|0|2|3|3 correct
200.txt math True 0|1|0|1|2|2|3|3 correct
201.txt math True 0|1|2|0|1|2|3|3 correct
202.txt math True 0|2|2|3|3|0|1|1 correct
203.txt math True 0|1|1|2|0|2|3|3 correct
204.txt math True 0|0|2|1|1|2|3|3 correct
205.txt math True 0|0|1|2|1|2|3|3 correct
206.txt math True 0|1|0|2|2|1|3|3 correct
207.txt math True 0|1|2|1|1|0|3|3 correct
208.txt math True 0|1|0|2|3|2|1|1 correct
209.txt math True impossible incorrect
21.txt math True 0|1|2|1|3|3|2|2 correct
210.txt math True impossible incorrect
211.txt math True impossible incorrect
212.txt math True impossible incorrect
213.txt math True 0|1|2|3|1|0|3|3 correct
214.txt math True 1|1|2|2|3|3|0|0 correct
215.txt math True 1|2|2|3|1|0|3|3 correct
216.txt math True 2|0|1|2|1|1|3|3 correct
217.txt math True 0|1|3|3|1|0|2|2 correct
218.txt math True 0|0|2|2|3|3|1|1 correct
219.txt math True impossible incorrect
22.txt math True 0|0|2|1|1|2|3|3 correct
220.txt math True 0|2|1|2|1|0|3|3 correct
221.txt math True 0|0|1|2|1|3|3|3 correct
222.txt math True 1|2|2|1|0|0|3|3 correct
223.txt math True 0|2|0|2|2|1|3|3 correct
224.txt math True 0|1|1|3|3|0|2|2 correct
225.txt math True impossible incorrect
226.txt math True 0|0|1|2|2|1|3|3 correct
227.txt math True 0|1|1|0|2|3|3|3 correct
228.txt math True 0|1|1|2|0|3|3|3 correct
229.txt math True 0|1|1|2|2|0|3|3 correct
23.txt math True 0|1|1|2|2|0|3|3 correct
230.txt math True impossible incorrect
231.txt math True 0|1|1|0|3|3|2|2 correct
232.txt math True 0|1|0|2|2|1|3|3 correct
233.txt math True 0|1|0|1|2|2|3|3 correct
234.txt math True 0|1|2|1|2|0|3|3 correct
235.txt math True 0|1|2|3|0|3|1|1 correct
236.txt math True 2|1|3|1|2|3|0|0 correct
237.txt math True 0|0|2|1|1|1|3|3 correct
238.txt math True 0|1|2|2|0|1|3|3 correct
239.txt math True 0|0|2|2|1|1|3|3 correct
24.txt math True impossible incorrect
240.txt math True 0|0|2|1|2|1|3|3 correct
241.txt math True impossible incorrect
242.txt math True 0|1|0|2|2|1|3|3 correct
243.txt math True 0|1|2|2|0|1|3|3 correct
244.txt math True 0|1|0|1|2|2|3|3 correct
245.txt math True 1|2|3|0|2|1|3|3 correct
246.txt math True 0|1|0|2|1|2|3|3 correct
247.txt math True 0|1|1|2|0|2|3|3 correct
