1.txt repeat0 494 True False 0,1 [empty] True
1.txt repeat1 465 False False 0,1 [empty] True
1.txt repeat2 418 False False 0,1 [empty] True
1.txt repeat3 348 False False 0,1 [empty] True
1.txt repeat4 284 True False [empty] [empty] True
10.txt repeat0 542 True False 0,1|1,3 [empty] True
10.txt repeat1 447 True False 0,1|1,3 [empty] True
10.txt repeat2 604 False False 0,1|1,3 [empty] True
10.txt repeat3 627 True False 0,1|1,3 [empty] True
10.txt repeat4 356 False False 0,1|1,3 [empty] True
11.txt repeat0 497 False False 0,1|2,3 [empty] True
11.txt repeat1 434 True False 0,1|2,3 [empty] True
11.txt repeat2 343 True False 0,1|2,3 [empty] True
11.txt repeat3 441 False False 0,1|2,3 [empty] True
11.txt repeat4 382 True False 0,1|2,3 [empty] True
12.txt repeat0 899 False False 0,2|0,3 [empty] True
12.txt repeat1 532 True False 0,2|0,3 [empty] True
12.txt repeat2 491 True False 0,2|0,3 [empty] True
12.txt repeat3 780 False False 0,2|0,3 [empty] True
12.txt repeat4 634 True False 0,2|0,3 [empty] True
13.txt repeat0 485 False False 0,2|1,2 [empty] True
13.txt repeat1 688 False False 0,2|1,2 [empty] True
13.txt repeat2 585 False False 0,2|1,2 [empty] True
13.txt repeat3 531 True False 0,2|1,2 [empty] True
13.txt repeat4 540 True False 0,2|1,2 [empty] True
14.txt repeat0 682 True False 0,2|1,3 [empty] True
14.txt repeat1 581 True False 0,2|1,3 [empty] True
14.txt repeat2 442 True False 0,2|1,3 [empty] True
14.txt repeat3 510 False False 0,2|1,3 [empty] True
14.txt repeat4 544 False False 0,2|1,3 [empty] True
15.txt repeat0 640 True False 0,2|2,3 [empty] True
15.txt repeat1 365 True False 0,2|2,3 [empty] True
15.txt repeat2 498 False False 0,2|2,3 [empty] True
15.txt repeat3 398 True False 0,2|2,3 [empty] True
15.txt repeat4 475 True False 0,2|2,3 [empty] True
16.txt repeat0 438 True False 0,3|1,2 [empty] True
16.txt repeat1 491 True False 0,3|1,2 [empty] True
16.txt repeat2 736 True False 0,3|1,2 [empty] True
16.txt repeat3 451 True False 0,3|1,2 [empty] True
16.txt repeat4 449 True False 0,3|1,2 [empty] True
17.txt repeat0 515 False False 0,3|1,3 [empty] True
17.txt repeat1 721 True False 0,3|1,3 [empty] True
17.txt repeat2 673 False False 0,3|1,3 [empty] True
17.txt repeat3 794 True False 0,3|1,3 [empty] True
17.txt repeat4 703 True False 0,3|1,3 [empty] True
18.txt repeat0 815 False False 0,3|2,3 [empty] True
18.txt repeat1 774 True False 0,3|2,3 [empty] True
18.txt repeat2 644 True False 0,3|2,3 [empty] True
18.txt repeat3 677 True False 0,3|2,3 [empty] True
18.txt repeat4 614 True False 0,3|2,3 [empty] True
19.txt repeat0 550 True False 1,2|1,3 [empty] True
19.txt repeat1 514 False False 1,2|1,3 [empty] True
19.txt repeat2 916 True False 1,2|1,3 [empty] True
19.txt repeat3 1343 True False 1,2|1,3 [empty] True
19.txt repeat4 752 False False 1,2|1,3 [empty] True
2.txt repeat0 610 True False 0,2 [empty] True
2.txt repeat1 683 False False 0,2 [empty] True
2.txt repeat2 577 False False 0,2 [empty] True
2.txt repeat3 903 True False 0,2 [empty] True
2.txt repeat4 422 False False 0,2 [empty] True
20.txt repeat0 557 True False 1,2|2,3 [empty] True
20.txt repeat1 583 True False 1,2|2,3 [empty] True
20.txt repeat2 531 True False 1,2|2,3 [empty] True
20.txt repeat3 640 False False 1,2|2,3 [empty] True
20.txt repeat4 653 False False 1,2|2,3 [empty] True
21.txt repeat0 491 False False 1,3|2,3 [empty] True
21.txt repeat1 584 True False 1,3|2,3 [empty] True
21.txt repeat2 451 False False 1,3|2,3 [empty] True
21.txt repeat3 453 False False 1,3|2,3 [empty] True
21.txt repeat4 485 False False 1,3|2,3 [empty] True
22.txt repeat0 434 False False 0,1|0,2|0,3 [empty] True
22.txt repeat1 395 False False 0,1|0,2|0,3 [empty] True
22.txt repeat2 521 True False 0,1|0,2|0,3 [empty] True
22.txt repeat3 454 True False 0,1|0,2|0,3 [empty] True
22.txt repeat4 643 True False 0,1|0,2|0,3 [empty] True
23.txt repeat0 549 True False 0,1|0,2|1,2 [empty] True
23.txt repeat1 635 True False 0,1|0,2|1,2 [empty] True
23.txt repeat2 510 True False 0,1|0,2|1,2 [empty] True
23.txt repeat3 558 True False 0,1|0,2|1,2 [empty] True
23.txt repeat4 656 True False 0,1|0,2|1,2 [empty] True
24.txt repeat0 494 True False 0,1|0,2|1,3 [empty] True
24.txt repeat1 520 True False 0,1|0,2|1,3 [empty] True
24.txt repeat2 503 True False 0,1|0,2|1,3 [empty] True
24.txt repeat3 512 True False 0,1|0,2|1,3 [empty] True
24.txt repeat4 647 True False 0,1|0,2|1,3 [empty] True
25.txt repeat0 700 True False 0,1|0,2|2,3 [empty] True
25.txt repeat1 601 True False 0,1|0,2|2,3 [empty] True
25.txt repeat2 557 True False 0,1|0,2|2,3 [empty] True
25.txt repeat3 512 True False 0,1|0,2|2,3 [empty] True
25.txt repeat4 632 True False 0,1|0,2|2,3 [empty] True
26.txt repeat0 494 True False 0,1|0,3|1,2 [empty] True
26.txt repeat1 648 True False 0,1|0,3|1,2 [empty] True
26.txt repeat2 517 True False 0,1|0,3|1,2 [empty] True
26.txt repeat3 657 True False 0,1|0,3|1,2 [empty] True
26.txt repeat4 472 True False 0,1|0,3|1,2 [empty] True
27.txt repeat0 631 True False 0,1|0,3|1,3 [empty] True
27.txt repeat1 616 True False 0,1|0,3|1,3 [empty] True
27.txt repeat2 492 True False 0,1|0,3|1,3 [empty] True
27.txt repeat3 667 True False 0,1|0,3|1,3 [empty] True
27.txt repeat4 414 True False 0,1|0,3|1,3 [empty] True
28.txt repeat0 744 True False 0,1|0,3|2,3 [empty] True
28.txt repeat1 577 True False 0,1|0,3|2,3 [empty] True
28.txt repeat2 688 True False 0,1|0,3|2,3 [empty] True
28.txt repeat3 1069 True False 0,1|0,3|2,3 [empty] True
28.txt repeat4 626 True False 0,1|0,3|2,3 [empty] True
29.txt repeat0 593 True False 0,1|1,2|1,3 [empty] True
29.txt repeat1 595 True False 0,1|1,2|1,3 [empty] True
29.txt repeat2 790 True False 0,1|1,2|1,3 [empty] True
29.txt repeat3 539 True False 0,1|1,2|1,3 [empty] True
29.txt repeat4 640 True False 0,1|1,2|1,3 [empty] True
3.txt repeat0 422 False False 0,3 [empty] True
3.txt repeat1 586 False False 0,3 [empty] True
3.txt repeat2 416 False False 0,3 [empty] True
3.txt repeat3 535 True False 0,3 [empty] True
3.txt repeat4 637 False False 0,3 [empty] True
30.txt repeat0 340 True False 0,1|1,2|2,3 [empty] True
30.txt repeat1 358 True False 0,1|1,2|2,3 [empty] True
30.txt repeat2 389 True False 0,1|1,2|2,3 [empty] True
30.txt repeat3 451 True False 0,1|1,2|2,3 [empty] True
30.txt repeat4 336 True False 0,1|1,2|2,3 [empty] True
31.txt repeat0 783 True False 0,1|1,3|2,3 [empty] True
31.txt repeat1 602 True False 0,1|1,3|2,3 [empty] True
31.txt repeat2 587 True False 0,1|1,3|2,3 [empty] True
31.txt repeat3 904 True False 0,1|1,3|2,3 [empty] True
31.txt repeat4 961 True False 0,1|1,3|2,3 [empty] True
32.txt repeat0 837 True False 0,2|0,3|1,2 [empty] True
32.txt repeat1 590 True False 0,2|0,3|1,2 [empty] True
32.txt repeat2 925 True False 0,2|0,3|1,2 [empty] True
32.txt repeat3 1395 True False 0,2|0,3|1,2 [empty] True
32.txt repeat4 715 True False 0,2|0,3|1,2 [empty] True
33.txt repeat0 1170 True False 0,2|0,3|1,3 [empty] True
33.txt repeat1 539 True False 0,2|0,3|1,3 [empty] True
33.txt repeat2 554 True False 0,2|0,3|1,3 [empty] True
33.txt repeat3 749 True False 0,2|0,3|1,3 [empty] True
33.txt repeat4 699 True False 0,2|0,3|1,3 [empty] True
34.txt repeat0 562 True False 0,2|0,3|2,3 [empty] True
34.txt repeat1 633 True False 0,2|0,3|2,3 [empty] True
34.txt repeat2 612 True False 0,2|0,3|2,3 [empty] True
34.txt repeat3 564 True False 0,2|0,3|2,3 [empty] True
34.txt repeat4 578 True False 0,2|0,3|2,3 [empty] True
35.txt repeat0 557 True False 0,2|1,2|1,3 [empty] True
35.txt repeat1 644 True False 0,2|1,2|1,3 [empty] True
35.txt repeat2 590 True False 0,2|1,2|1,3 [empty] True
35.txt repeat3 574 True False 0,2|1,2|1,3 [empty] True
35.txt repeat4 838 True False 0,2|1,2|1,3 [empty] True
36.txt repeat0 847 True False 0,2|1,2|2,3 [empty] True
36.txt repeat1 720 True False 0,2|1,2|2,3 [empty] True
36.txt repeat2 593 True False 0,2|1,2|2,3 [empty] True
36.txt repeat3 604 True False 0,2|1,2|2,3 [empty] True
36.txt repeat4 1037 True False 0,2|1,2|2,3 [empty] True
37.txt repeat0 1019 True False 0,2|1,3|2,3 [empty] True
37.txt repeat1 1043 True False 0,2|1,3|2,3 [empty] True
37.txt repeat2 841 True False 0,2|1,3|2,3 [empty] True
37.txt repeat3 1047 True False 0,2|1,3|2,3 [empty] True
37.txt repeat4 948 True False 0,2|1,3|2,3 [empty] True
38.txt repeat0 620 True False 0,3|1,2|1,3 [empty] True
38.txt repeat1 502 True False 0,3|1,2|1,3 [empty] True
38.txt repeat2 1352 True False 0,3|1,2|1,3 [empty] True
38.txt repeat3 769 True False 0,3|1,2|1,3 [empty] True
38.txt repeat4 841 True False 0,3|1,2|1,3 [empty] True
39.txt repeat0 1054 True False 0,3|1,2|2,3 [empty] True
39.txt repeat1 561 True False 0,3|1,2|2,3 [empty] True
39.txt repeat2 508 True False 0,3|1,2|2,3 [empty] True
