1.txt repeat0 294 False False 0,1 [empty] True
1.txt repeat1 296 False False 0,1 [empty] True
1.txt repeat2 355 False False 0,1 [empty] True
1.txt repeat3 294 False False 0,1 [empty] True
1.txt repeat4 296 False False 0,1 [empty] True
10.txt repeat0 421 False False 0,1|1,3 [empty] True
10.txt repeat1 414 False False 0,1|1,3 [empty] True
10.txt repeat2 421 False False 0,1|1,3 [empty] True
10.txt repeat3 509 False False 0,1|1,3 [empty] True
10.txt repeat4 489 False False 0,1|1,3 [empty] True
11.txt repeat0 387 False False 0,1|2,3 [empty] True
11.txt repeat1 387 False False 0,1|2,3 [empty] True
11.txt repeat2 366 False False 0,1|2,3 [empty] True
11.txt repeat3 366 False False 0,1|2,3 [empty] True
11.txt repeat4 366 False False 0,1|2,3 [empty] True
12.txt repeat0 482 False False 0,2|0,3 [empty] True
12.txt repeat1 452 False False 0,2|0,3 [empty] True
12.txt repeat2 482 False False 0,2|0,3 [empty] True
12.txt repeat3 452 False False 0,2|0,3 [empty] True
12.txt repeat4 482 False False 0,2|0,3 [empty] True
13.txt repeat0 514 False False 0,2|1,2 [empty] True
13.txt repeat1 514 False False 0,2|1,2 [empty] True
13.txt repeat2 514 False False 0,2|1,2 [empty] True
13.txt repeat3 514 False False 0,2|1,2 [empty] True
13.txt repeat4 514 False False 0,2|1,2 [empty] True
14.txt repeat0 383 False False 0,2|1,3 [empty] True
14.txt repeat1 390 False False 0,2|1,3 [empty] True
14.txt repeat2 383 False False 0,2|1,3 [empty] True
14.txt repeat3 383 False False 0,2|1,3 [empty] True
14.txt repeat4 383 False False 0,2|1,3 [empty] True
15.txt repeat0 331 False False 0,2|2,3 [empty] True
15.txt repeat1 331 False False 0,2|2,3 [empty] True
15.txt repeat2 331 False False 0,2|2,3 [empty] True
15.txt repeat3 331 False False 0,2|2,3 [empty] True
15.txt repeat4 331 False False 0,2|2,3 [empty] True
16.txt repeat0 359 True False 0,3|1,2 [empty] True
16.txt repeat1 359 True False 0,3|1,2 [empty] True
16.txt repeat2 359 True False 0,3|1,2 [empty] True
16.txt repeat3 359 True False 0,3|1,2 [empty] True
16.txt repeat4 522 False False 0,3|1,2 [empty] True
17.txt repeat0 436 False False 0,3|1,3 [empty] True
17.txt repeat1 436 False False 0,3|1,3 [empty] True
17.txt repeat2 629 True False 0,3|1,3 [empty] True
17.txt repeat3 436 False False 0,3|1,3 [empty] True
17.txt repeat4 436 False False 0,3|1,3 [empty] True
18.txt repeat0 451 False False 0,3|2,3 [empty] True
18.txt repeat1 451 False False 0,3|2,3 [empty] True
18.txt repeat2 492 False False 0,3|2,3 [empty] True
18.txt repeat3 451 False False 0,3|2,3 [empty] True
18.txt repeat4 451 False False 0,3|2,3 [empty] True
19.txt repeat0 427 False False 1,2|1,3 [empty] True
19.txt repeat1 427 False False 1,2|1,3 [empty] True
19.txt repeat2 427 False False 1,2|1,3 [empty] True
19.txt repeat3 427 False False 1,2|1,3 [empty] True
19.txt repeat4 442 False False 1,2|1,3 [empty] True
2.txt repeat0 381 False False 0,2 [empty] True
2.txt repeat1 381 False False 0,2 [empty] True
2.txt repeat2 381 False False 0,2 [empty] True
2.txt repeat3 381 False False 0,2 [empty] True
2.txt repeat4 593 False False 0,2 [empty] True
20.txt repeat0 380 False False 1,2|2,3 [empty] True
20.txt repeat1 380 False False 1,2|2,3 [empty] True
20.txt repeat2 380 False False 1,2|2,3 [empty] True
20.txt repeat3 380 False False 1,2|2,3 [empty] True
20.txt repeat4 380 False False 1,2|2,3 [empty] True
21.txt repeat0 392 False False 1,3|2,3 [empty] True
21.txt repeat1 357 False False 1,3|2,3 [empty] True
21.txt repeat2 343 False False 1,3|2,3 [empty] True
21.txt repeat3 327 False False 1,3|2,3 [empty] True
21.txt repeat4 378 False False 1,3|2,3 [empty] True
22.txt repeat0 463 False False 0,1|0,2|0,3 [empty] True
22.txt repeat1 463 False False 0,1|0,2|0,3 [empty] True
22.txt repeat2 385 False False 0,1|0,2|0,3 [empty] True
22.txt repeat3 385 False False 0,1|0,2|0,3 [empty] True
22.txt repeat4 438 False False 0,1|0,2|0,3 [empty] True
23.txt repeat0 502 True False 0,1|0,2|1,2 [empty] True
23.txt repeat1 666 True False 0,1|0,2|1,2 [empty] True
