1.txt repeat0 241 True False [empty] [empty] True
1.txt repeat1 219 True False [empty] [empty] True
1.txt repeat2 219 True False [empty] [empty] True
1.txt repeat3 219 True False [empty] [empty] True
1.txt repeat4 227 True False [empty] [empty] True
10.txt repeat0 283 True False 0,1|1,3 [empty] True
10.txt repeat1 283 True False 0,1|1,3 [empty] True
10.txt repeat2 283 True False 0,1|1,3 [empty] True
10.txt repeat3 293 True False 0,1|1,3 [empty] True
10.txt repeat4 283 True False 0,1|1,3 [empty] True
11.txt repeat0 461 True False 0,1|2,3 [empty] True
11.txt repeat1 461 True False 0,1|2,3 [empty] True
11.txt repeat2 382 True False 0,1|2,3 [empty] True
11.txt repeat3 458 True False 0,1|2,3 [empty] True
11.txt repeat4 461 True False 0,1|2,3 [empty] True
12.txt repeat0 304 True False 0,2|0,3 [empty] True
12.txt repeat1 413 True False 0,2|0,3 [empty] True
12.txt repeat2 493 True False 0,2|0,3 [empty] True
12.txt repeat3 304 True False 0,2|0,3 [empty] True
12.txt repeat4 304 True False 0,2|0,3 [empty] True
13.txt repeat0 541 True False 0,2|1,2 [empty] True
13.txt repeat1 457 True False 0,2|1,2 [empty] True
13.txt repeat2 371 True False 0,2|1,2 [empty] True
13.txt repeat3 468 True False 0,2|1,2 [empty] True
13.txt repeat4 468 True False 0,2|1,2 [empty] True
14.txt repeat0 604 True False 0,2|1,3 [empty] True
14.txt repeat1 372 True False 0,2|1,3 [empty] True
14.txt repeat2 372 True False 0,2|1,3 [empty] True
14.txt repeat3 604 True False 0,2|1,3 [empty] True
14.txt repeat4 401 True False 0,2|1,3 [empty] True
15.txt repeat0 329 True False 0,2|2,3 [empty] True
15.txt repeat1 376 True False 0,2|2,3 [empty] True
15.txt repeat2 329 True False 0,2|2,3 [empty] True
15.txt repeat3 369 True False 0,2|2,3 [empty] True
15.txt repeat4 369 True False 0,2|2,3 [empty] True
16.txt repeat0 450 True False 0,3|1,2 [empty] True
16.txt repeat1 450 True False 0,3|1,2 [empty] True
16.txt repeat2 646 True False 0,3|1,2 [empty] True
16.txt repeat3 450 True False 0,3|1,2 [empty] True
16.txt repeat4 450 True False 0,3|1,2 [empty] True
17.txt repeat0 354 True False 0,3|1,3 [empty] True
17.txt repeat1 354 True False 0,3|1,3 [empty] True
17.txt repeat2 553 True False 0,3|1,3 [empty] True
17.txt repeat3 553 True False 0,3|1,3 [empty] True
17.txt repeat4 553 True False 0,3|1,3 [empty] True
18.txt repeat0 473 True False 0,3|2,3 [empty] True
18.txt repeat1 334 True False 0,3|2,3 [empty] True
18.txt repeat2 473 True False 0,3|2,3 [empty] True
18.txt repeat3 411 True False 0,3|2,3 [empty] True
18.txt repeat4 438 True False 0,3|2,3 [empty] True
19.txt repeat0 391 True False 1,2|1,3 [empty] True
19.txt repeat1 463 True False 1,2|1,3 [empty] True
19.txt repeat2 342 True False 1,2|1,3 [empty] True
19.txt repeat3 391 True False 1,2|1,3 [empty] True
19.txt repeat4 525 True False 1,2|1,3 [empty] True
2.txt repeat0 336 True False 0,2 [empty] True
